date,open,high,low,close,volume,premium_open,premium_high,premium_low,coinbase_premium_index,premium_close_time,premium_trades,oi
2025-03-09 00:00:00,86184.7,86470.6,85902.0,86077.1,10664.199,-0.00039206,0.00036728,-0.00114836,-0.00051903,1741492799999.0,2880.0,68425.001
2025-03-09 04:00:00,86077.1,86128.3,85753.3,85968.9,8708.738,-0.00051842,8.068e-05,-0.00089518,-0.00042008,1741507199999.0,2880.0,68590.862
2025-03-09 08:00:00,85968.8,86092.8,84601.3,84990.1,28696.135,-0.00042192,6.798e-05,-0.00109028,-0.00041708,1741521599999.0,2880.0,68808.554
2025-03-09 12:00:00,84990.0,85028.1,82619.3,83030.5,56855.474,-0.00053038,0.00029663,-0.00179223,-0.00057476,1741535999999.0,2880.0,70401.225
2025-03-09 16:00:00,83030.4,83727.8,82176.9,82604.9,53961.081,-0.00057459,0.00032624,-0.00160301,-0.00023766,1741550399999.0,2880.0,71607.42
2025-03-09 20:00:00,82605.0,83515.0,79933.4,80688.8,62723.721,-0.00010338,0.00037946,-0.00235411,-0.00040206,1741564799999.0,2880.0,71574.473
2025-03-10 00:00:00,80690.7,82694.2,80001.0,82000.1,51441.0,-0.00042965,0.00031259,-0.00131339,-0.00061542,1741579199999.0,2880.0,70149.234
2025-03-10 04:00:00,82000.1,82761.0,81947.0,82277.6,18157.406,-0.00061653,7.441e-05,-0.00106162,-0.00054354,1741593599999.0,2880.0,69582.072
2025-03-10 08:00:00,82277.7,84031.5,81110.0,83540.2,76138.678,-0.00053299,0.00048185,-0.00158385,-0.00060714,1741607999999.0,2880.0,69508.226
2025-03-10 12:00:00,83540.3,83728.2,79142.8,80009.7,124660.837,-0.00023193,0.00136862,-0.00180193,-0.00047787,1741622399999.0,2880.0,69314.162
2025-03-10 16:00:00,80009.7,80217.6,77410.1,79037.1,106456.31,-0.00026743,0.00060241,-0.00132482,-5.206e-05,1741636799999.0,2880.0,69853.649
2025-03-10 20:00:00,79035.3,79844.4,78363.6,78567.8,39532.566,-0.00014575,0.00048017,-0.00150731,-0.00011327,1741651199999.0,2880.0,69380.306
2025-03-11 00:00:00,78567.8,79888.0,76560.0,79486.6,78235.731,-0.00043013,0.00050138,-0.0013475,-0.00022603,1741665599999.0,2880.0,69692.488
2025-03-11 04:00:00,79486.7,80585.5,79411.2,80386.0,33668.415,-0.00047717,0.00027526,-0.00100732,-0.00055165,1741679999999.0,2880.0,68980.636
2025-03-11 08:00:00,80386.0,82061.5,80291.0,81684.6,41608.884,-0.00053976,0.00024601,-0.00109813,-0.00042553,1741694399999.0,2880.0,69007.454
2025-03-11 12:00:00,81684.5,82240.0,79026.2,81190.7,139695.873,-0.00039263,0.0015518,-0.00186877,-0.0003871,1741708799999.0,2880.0,70196.081
2025-03-11 16:00:00,81190.7,83600.0,80600.0,83060.1,74604.747,-0.00022462,0.00077883,-0.00125167,-0.00106542,1741723199999.0,2880.0,70936.981
2025-03-11 20:00:00,83060.1,83261.7,82512.4,82896.0,22965.519,-0.00080007,0.0,-0.00107141,-0.00031864,1741737599999.0,2880.0,70837.692
2025-03-12 00:00:00,82896.0,83741.8,82066.5,82098.2,35999.113,-0.00031844,0.00040659,-0.0015331,-0.00052351,1741751999999.0,2880.0,69968.586
2025-03-12 04:00:00,82098.2,82500.0,81250.0,82402.9,37098.324,-0.00021443,6.75e-05,-0.0009988,-0.00048236,1741766399999.0,2880.0,69985.319
2025-03-12 08:00:00,82402.8,83046.9,81980.0,82972.0,37875.934,-0.00043184,0.00019411,-0.00119199,-0.0004591,1741780799999.0,2880.0,70951.091
2025-03-12 12:00:00,82971.9,84487.0,80578.5,81688.1,122716.834,-0.00045676,0.00394432,-0.00422815,-0.00048709,1741795199999.0,2880.0,70473.752
2025-03-12 16:00:00,81688.0,83127.4,81575.6,82877.3,53129.002,-0.00056601,0.00029492,-0.00123073,-0.00056461,1741809599999.0,2879.0,70516.745
2025-03-12 20:00:00,82877.3,83849.0,82662.0,83640.7,19351.917,-0.00072397,0.00016119,-0.00106789,-0.00039562,1741823999999.0,2880.0,69260.866
2025-03-13 00:00:00,83640.7,84307.1,83267.1,83537.1,24001.951,-0.00041997,0.00032657,-0.00107499,-0.00046648,1741838399999.0,2880.0,68962.566
2025-03-13 04:00:00,83537.2,83663.0,82813.2,83118.5,24236.411,-0.00046788,1.931e-05,-0.0009542,-0.0004494,1741852799999.0,2880.0,70348.489
2025-03-13 08:00:00,83118.6,83494.6,82350.0,82939.5,30560.697,-0.00038938,4.381e-05,-0.00113522,-0.00046021,1741867199999.0,2880.0,70281.443
2025-03-13 12:00:00,82939.3,84030.0,80914.4,81016.0,88799.609,-0.00043635,0.00033821,-0.00128669,-0.00026972,1741881599999.0,2880.0,71367.027
2025-03-13 16:00:00,81016.0,81243.8,79903.4,80177.9,58197.608,-0.00031605,0.00012173,-0.00103457,-0.00032197,1741895999999.0,2880.0,69780.379
2025-03-13 20:00:00,80177.5,81450.5,80162.9,81085.4,22163.776,-0.00014392,0.00010086,-0.00093853,-0.00039996,1741910399999.0,2880.0,71597.163
2025-03-14 00:00:00,81085.5,82249.0,80772.0,81861.5,27108.918,-0.0003315,4.518e-05,-0.0009981,-0.00046034,1741924799999.0,2880.0,72030.145
2025-03-14 04:00:00,81861.5,82425.0,81730.9,82124.5,17419.406,-0.00036849,0.0,-0.0008753,-0.00073507,1741939199999.0,2880.0,70787.616
2025-03-14 08:00:00,82124.6,83330.0,82121.2,83202.8,30208.907,-0.0006769,2.826e-05,-0.00093983,-0.00077656,1741953599999.0,2880.0,70673.481
2025-03-14 12:00:00,83202.9,85270.2,82594.3,84692.2,97510.76,-0.00066284,0.00018981,-0.00224535,-0.00045687,1741967999999.0,2880.0,71286.398
2025-03-14 16:00:00,84692.1,84908.8,83908.3,84508.1,40100.559,-0.00039918,7.353e-05,-0.00108985,-0.00059024,1741982399999.0,2880.0,74440.518
2025-03-14 20:00:00,84504.8,84507.8,83654.7,83939.8,21196.158,-0.00056299,-0.00013432,-0.00112545,-0.00049298,1741996799999.0,2880.0,73537.943
