date,open,high,low,close,volume,premium_open,premium_high,premium_low,coinbase_premium_index,premium_close_time,premium_trades,oi
2025-03-09,86184.7,86470.6,79933.4,80688.8,221609.348,-0.00039206,0.00037946,-0.00235411,-0.00040206,1741564799999,17280.0,68425.001
2025-03-10,80690.7,84031.5,77410.1,78567.8,416386.797,-0.00042965,0.00136862,-0.00180193,-0.00011327,1741651199999,17280.0,70149.234
2025-03-11,78567.8,83600.0,76560.0,82896.0,390779.169,-0.00043013,0.0015518,-0.00186877,-0.00031864,1741737599999,17280.0,69692.488
2025-03-12,82896.0,84487.0,80578.5,83640.7,306171.124,-0.00031844,0.00394432,-0.00422815,-0.00039562,1741823999999,17279.0,69968.586
2025-03-13,83640.7,84307.1,79903.4,81085.4,247960.052,-0.00041997,0.00033821,-0.00128669,-0.00039996,1741910399999,17280.0,68962.566
2025-03-14,81085.5,85270.2,80772.0,83939.8,233544.708,-0.0003315,0.00018981,-0.00224535,-0.00049298,1741996799999,17280.0,72030.145
2025-03-15,83939.9,84625.0,83564.5,84302.9,76674.97,-0.0004358,-1.7e-06,-0.00108099,-0.00045405,1742083199999,17280.0,72975.574
2025-03-16,84303.0,85136.0,81925.6,82541.6,174630.7,-0.00045399,0.00072331,-0.00190138,-0.00049274,1742169599999,17280.0,70622.154
2025-03-17,82541.6,84727.1,82384.0,83962.9,182662.082,-0.00042918,0.00029142,-0.00183902,-0.00061112,1742255999999,17278.0,68524.906
2025-03-18,83963.0,83979.8,81113.5,82666.1,188897.749,-0.00061097,0.00048429,-0.00185903,-0.00058423,1742342399999,17279.0,71103.846
2025-03-19,82666.2,86990.0,82501.8,86809.8,251961.741,-0.0006143,0.00330422,-0.00169043,-0.00043616,1742428799999,17278.0,70453.053
2025-03-20,86809.8,87500.0,83613.6,84183.6,242943.492,-0.00029107,0.00094784,-0.00237908,-0.0004409,1742515199999,17278.0,76225.349
2025-03-21,84183.6,84813.6,83122.0,84050.3,144422.271,-0.00043202,0.00010204,-0.00193512,-0.00044625,1742601599999,17279.0,70731.836
2025-03-22,84050.3,84509.0,83589.5,83804.9,52218.652,-0.00044747,-3.097e-05,-0.0010226,-0.00045283,1742687999999,17280.0,70736.454
2025-03-23,83804.9,86110.9,83761.2,86044.2,90899.873,-0.00045805,0.00056976,-0.00131365,-0.00034945,1742774399999,17280.0,70129.169
2025-03-24,86044.1,88752.0,85478.3,87463.4,210907.484,-0.00038634,0.00051397,-0.00125342,-0.00029915,1742860799999,17279.0,72903.525
2025-03-25,87463.4,88500.0,86260.0,87369.8,173505.289,-0.00038269,0.00173776,-0.00164875,-0.0003125,1742947199999,17280.0,77221.553
2025-03-26,87369.9,88270.2,85816.3,86873.8,187956.695,-0.00036062,0.00025711,-0.00174049,-0.00035191,1743033599999,17277.0,75025.197
2025-03-27,86873.9,87722.4,85724.5,87191.2,163451.689,-0.00038282,0.00018831,-0.0017707,-0.00046947,1743119999999,17278.0,70461.688
